estado;codigo;numero;municipio;populacao
SP;35;36703;Pederneiras;47.523
SP;35;36802;Pedra Bela;6.127
SP;35;36901;Pedranópolis;2.468
SP;35;37008;Pedregulho;16.876
SP;35;37107;Pedreira;48.992
SP;35;37156;Pedrinhas Paulista;3.109
SP;35;37206;Pedro de Toledo;11.507
SP;35;37305;Penápolis;64.098
SP;35;37404;Pereira Barreto;25.685
SP;35;37503;Pereiras;8.875
SP;35;37602;Peruíbe;69.697
SP;35;37701;Piacatu;6.093
SP;35;37800;Piedade;55.731
SP;35;37909;Pilar do Sul;29.612
SP;35;38006;Pindamonhangaba;171.885
SP;35;38105;Pindorama;17.378
SP;35;38204;Pinhalzinho;15.564
SP;35;38303;Piquerobi;3.706
SP;35;38501;Piquete;13.495
SP;35;38600;Piracaia;27.617
SP;35;38709;Piracicaba;410.275
SP;35;38808;Piraju;29.930
SP;35;38907;Pirajuí;25.939
SP;35;39004;Pirangi;11.524
SP;35;39103;Pirapora do Bom Jesus;19.453
SP;35;39202;Pirapozinho;27.974
SP;35;39301;Pirassununga;77.330
SP;35;39400;Piratininga;13.890
SP;35;39509;Pitangueiras;40.430
SP;35;39608;Planalto;5.370
SP;35;39707;Platina;3.606
SP;35;39806;Poá;119.221
SP;35;39905;Poloni;6.166
SP;35;40002;Pompéia;22.326
SP;35;40101;Pongaí;3.385
SP;35;40200;Pontal;51.717
SP;35;40259;Pontalinda;4.719
SP;35;40309;Pontes Gestal;2.576
SP;35;40408;Populina;4.136
SP;35;40507;Porangaba;10.205
SP;35;40606;Porto Feliz;53.698
SP;35;40705;Porto Ferreira;56.848
SP;35;40754;Potim;25.603
SP;35;40804;Potirendaba;17.668
SP;35;40853;Pracinha;4.327
SP;35;40903;Pradópolis;22.239
SP;35;41000;Praia Grande;336.454
SP;35;41059;Pratânia;5.371
SP;35;41109;Presidente Alves;4.067
SP;35;41208;Presidente Bernardes;12.943
SP;35;41307;Presidente Epitácio;44.572
SP;35;41406;Presidente Prudente;231.953
SP;35;41505;Presidente Venceslau;39.648
SP;35;41604;Promissão;41.211
SP;35;41653;Quadra;3.902
SP;35;41703;Quatá;14.309
SP;35;41802;Queiroz;3.513
SP;35;41901;Queluz;13.788
SP;35;42008;Quintana;6.736
SP;35;42107;Rafard;9.126
SP;35;42206;Rancharia;29.743
SP;35;42305;Redenção da Serra;3.827
SP;35;42404;Regente Feijó;20.523
SP;35;42503;Reginópolis;10.047
SP;35;42602;Registro;56.463
SP;35;42701;Restinga;7.762
SP;35;42800;Ribeira;3.320
SP;35;42909;Ribeirão Bonito;13.376
SP;35;43006;Ribeirão Branco;15.984
SP;35;43105;Ribeirão Corrente;4.786
SP;35;43204;Ribeirão do Sul;4.537
SP;35;43238;Ribeirão dos Índios;2.222
SP;35;43253;Ribeirão Grande;7.686
SP;35;43303;Ribeirão Pires;125.238
SP;35;43402;Ribeirão Preto;720.116
SP;35;43501;Riversul;5.364
SP;35;43600;Rifaina;3.651
SP;35;43709;Rincão;10.824
SP;35;43808;Rinópolis;9.940
SP;35;43907;Rio Claro;209.548
SP;35;44004;Rio das Pedras;36.233
SP;35;44103;Rio Grande da Serra;52.009
SP;35;44202;Riolândia;12.856
SP;35;44251;Rosana;15.929
SP;35;44301;Roseira;10.888
SP;35;44400;Rubiácea;3.195
SP;35;44509;Rubinéia;3.191
SP;35;44608;Sabino;5.638
SP;35;44707;Sagres;2.427
SP;35;44806;Sales;6.481
SP;35;44905;Sales Oliveira;12.103
SP;35;45001;Salesópolis;17.363
SP;35;45100;Salmourão;5.372
SP;35;45159;Saltinho;8.498
SP;35;45209;Salto;120.779
